"","1","2","3","4","5"
"Left Border Point",1,10,100,1000,10000
"Right Border Point",10,100,1000,10000,100000
"Digit 1",0.0238095238095238,0.0567959263611438,0.465807429871114,0.578212290502793,0.666666666666667
"Digit 2",NA,0.113396004700353,0.21516300227445,0.168994413407821,0.145833333333333
"Digit 3",0.0476190476190476,0.139443791617705,0.116451857467779,0.0935754189944134,0.104166666666667
"Digit 4",0.0238095238095238,0.129455542499021,0.0723275208491281,0.0488826815642458,NA
"Digit 5",0.0714285714285714,0.128672150411281,0.0432145564821835,0.0363128491620112,0.0208333333333333
"Digit 6",0.0952380952380952,0.125342734038386,0.0342683851402578,0.0363128491620112,0.0416666666666667
"Digit 7",0.238095238095238,0.112220916568743,0.023805913570887,0.0153631284916201,0.0208333333333333
"Digit 8",0.142857142857143,0.103603603603604,0.0171341925701289,0.0111731843575419,NA
"Digit 9",0.357142857142857,0.091069330199765,0.0118271417740713,0.0111731843575419,NA
"# of Data points",42,5106,6595,716,48
"% Overall Data",0.335811945310626,40.8251379227633,52.7304709362757,5.72479411529543,0.383785080355001
